iter	Logloss
0	0.6916485461
1	0.6901710211
2	0.6880836759
3	0.6870810841
4	0.6851181751
5	0.6830047523
6	0.6808485628
7	0.6790611627
8	0.6771076016
9	0.675582966
10	0.6742056022
11	0.6728958481
12	0.6710066412
13	0.6693855776
14	0.6676709675
15	0.665778155
16	0.6644899032
17	0.662770167
18	0.6609025123
19	0.6590527119
20	0.6573914565
2121	0.6548680652222	0.6530821891
23	0.6519630137
24	0.6499857555
25	0.6483518821
26	0.6465148379
27	0.6453909205
28	0.6436165065
29	0.6419211107
30	0.6404700472
31	0.6383588899
32	0.6368577798
33	0.6353982407
34	0.6337463393535	0.63209726936	0.6318982985
37	0.6302166383
38	0.6285726559
39	0.6270677766
40	0.6258641157
41	0.6247855954
42	0.6232958224
43	0.6219347964
44	0.619895307
4545	0.6147619446	0.6170209571
47	47	0.6117939048	48	0.6102140349	49	0.6088891250	0.6101048705
51	51	0.6054474945
52	0.603857093
53	0.6023559254
54	0.6007323033
55	0.5991672873
56	0.5973083102
57	0.5961239193
58	0.5946270981
59	0.5933419903
60	0.5916479648
61	0.5906623564
62	0.5889341411
63	0.5872980239
64	0.5859826952
65	0.5845402402
66	0.5834589016
67	0.5820116838
68	0.5803540319
69	0.5786982896
70	0.5772809318
71	0.5753817072
72	0.5741723547
73	0.5730814362
74	0.5718848898
75	0.5705132
76	0.5690089451
77	0.5674736767
78	0.5661980765
79	0.5646178455
80	0.5632362467
81	0.5621889745
82	0.5605201064
83	0.5593071519
84	0.5574061548
85	0.5557107843
86	0.5543776836
87	0.5528595538
88	0.5516490749
89	0.5499620183
90	0.5488338066
91	0.5475418453
92	0.5460595159
93	0.5447085153
94	0.5437105611
95	0.5421151337
96	0.5408211584
97	0.5390573167
98	0.5378026075
99	0.5368089527
100	0.5357328812
101	0.5344187691
102	0.5331178013
103	0.5321956623
104	0.5309199533
105	0.5298387062
106	0.5284152921
107	0.5272175725
108	0.5259203989
109	0.5244106668
110	0.5231026355
111	0.5216024185
112	0.5204246865
113	0.5194135459
114	0.5179419364
115	0.5169041777
116	0.5159744392
117	0.5146122814
118	0.5134466009
119	0.5123762253
120	0.5110001267
121	0.5096146537
122	0.5084706582
123	0.5072262351
124	0.5057836069
125	0.5042466061
126	0.5032815892
127	0.5020321573
128	0.5005837036
129	0.4994319524
130	0.4983942248
131	0.4971438873
132	0.4962014886
133	0.49482805
134	0.4935127573
135	0.4925526368
136	0.491474625
137	0.4902510133
